,Family,Person,People,Human,Photography,Photo,Face,Portrait,Vacation,Clothing,Apparel,Pants,Jeans,Denim,Footwear,Shoe,Furniture,Couch,Sneaker,Dating,Sunlight,Flare,Light,Outdoors,Nature,Fungus,Egg,Food,Sun,Sky,Sunrise,Hand,Hug,Plant,Flower,Blossom,Grass,Back,Field,Tulip,Hat,Tree,Poppy,Potted Plant,Pottery,Jar,Vase,Flower Arrangement,Sun Hat,Water,Festival,Crowd,Robe,Fashion,Gown,Kimono,Hair,Pedestrian,Skin,Shorts
main/tasksPy/Images/5.jpg,99.55807495117188,99.55807495117188,99.55807495117188,99.55807495117188,67.98353576660156,67.98353576660156,66.75486755371094,62.79662704467773,56.90068817138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
q9a0BBiemo7wgfN5dmT5,99.55807495117188,99.55807495117188,99.55807495117188,99.55807495117188,67.98353576660156,67.98353576660156,66.75486755371094,62.79662704467773,56.90068817138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
6OK14VOkcKjwSVd4kmFu,0.0,94.02567291259766,0.0,94.02567291259766,0.0,0.0,0.0,0.0,0.0,99.9074935913086,99.9074935913086,99.90113067626952,95.60417175292967,95.60417175292967,94.27418518066406,94.10755157470705,80.12109375,75.27949523925781,59.01864242553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
k1y0loSlVs4XAkrZkucm,0.0,99.83101654052734,69.96575927734375,99.83101654052734,0.0,0.0,77.63711547851562,0.0,0.0,74.84529876708984,74.84529876708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.83101654052734,95.30927276611328,91.46127319335938,91.46127319335938,80.43154907226562,78.34999084472656,70.43074798583984,69.24359893798828,69.24359893798828,66.31114196777344,66.31114196777344,64.11808776855469,63.56071472167969,55.43303298950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
ZsDs07eqsslyJR9Odogf,0.0,96.71309661865234,0.0,96.71309661865234,0.0,0.0,0.0,0.0,0.0,86.62846374511719,86.62846374511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7507095336914,55.375972747802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.93805694580078,94.81939697265624,94.81939697265624,75.99309539794922,75.44261169433594,73.37564849853516,61.649356842041016,60.81536483764648,58.80562210083008,58.62794494628906,57.072750091552734,57.072750091552734,57.072750091552734,57.072750091552734,55.27583694458008,0.0,0.0,0,0,0,0,0,0,0,0,0,0
i5QirBZf0aaJcG2uESJg,0.0,97.17951202392578,0.0,97.17951202392578,0.0,0.0,0.0,0.0,0.0,99.7310562133789,99.7310562133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.698509216308594,0.0,0.0,96.18618774414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.18618774414062,75.62248229980469,0,0,0,0,0,0,0,0,0,0
TckyDM59EfyXiRiiY5qx,0,99.91710662841797,0,99.91710662841797,0,0,0,0,0,99.76995849609375,99.76995849609375,0,0,0,65.67784881591797,65.67784881591797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.91710662841797,99.91710662841797,89.88145446777344,89.88145446777344,89.22872924804688,83.00508880615234,80.83516693115234,72.89910125732422,69.39804077148438,65.83049774169922
